dates,events
21/02/2012,8
03/12/2012,6
21/05/2013,5
31/12/2013,7
06/02/2013,8
17/12/2013,10
30/03/2012,12
19/11/2012,4
30/08/2012,3
09/01/2013,10
18/09/2013,8
20/05/2011,6
15/07/2014,5
30/01/2012,4
07/10/2013,3
01/09/2012,4
03/09/2013,5
09/05/2012,6
26/06/2013,7
16/01/2014,8
08/10/2013,10
04/11/2013,10
03/04/2014,10
05/06/2014,10
02/07/2014,10
06/06/2013,9
24/02/2014,9
25/10/2010,8
24/11/2011,8
02/02/2012,8
10/05/2012,8
25/06/2012,8
25/09/2012,8
19/10/2012,8
11/12/2012,8
06/03/2013,8
18/03/2013,8
17/04/2013,8
16/05/2013,8
24/06/2013,8
19/08/2013,8
03/10/2013,8
15/01/2014,8
12/02/2014,8
05/01/2011,7
19/12/2011,7
16/01/2012,7
27/02/2012,7
29/02/2012,7
18/06/2012,7
03/09/2012,7
03/05/2013,7
09/07/2013,7
26/08/2013,7
27/09/2013,7
18/10/2013,7
21/10/2013,7
06/12/2013,7
18/12/2013,7
11/03/2014,7
04/04/2014,7
10/04/2014,7
26/06/2014,7
22/07/2014,7
29/07/2014,7
30/07/2014,7
01/09/2014,7
29/09/2010,6
18/10/2010,6
18/03/2011,6
28/03/2011,6
10/06/2011,6
16/06/2011,6
29/08/2011,6
15/09/2011,6
22/09/2011,6
28/09/2011,6
03/10/2011,6
04/10/2011,6
02/12/2011,6
05/12/2011,6
13/02/2012,6
28/02/2012,6
13/06/2012,6
31/08/2012,6
04/09/2012,6
22/10/2012,6
09/11/2012,6
15/01/2013,6
28/01/2013,6
20/02/2013,6
22/02/2013,6
02/04/2013,6
22/04/2013,6
29/04/2013,6
23/05/2013,6
01/07/2013,6
24/07/2013,6
28/08/2013,6
12/09/2013,6
26/09/2013,6
15/10/2013,6
10/12/2013,6
14/01/2014,6
24/01/2014,6
17/02/2014,6
28/02/2014,6
10/03/2014,6
17/06/2014,6
24/07/2014,6
29/09/2014,6
05/11/2010,5
01/12/2010,5
10/12/2010,5
31/01/2011,5
03/02/2011,5
07/03/2011,5
15/03/2011,5
20/04/2011,5
28/04/2011,5
02/09/2011,5
21/09/2011,5
13/10/2011,5
15/11/2011,5
29/11/2011,5
09/03/2012,5
12/03/2012,5
13/03/2012,5
16/03/2012,5
16/04/2012,5
23/05/2012,5
30/05/2012,5
31/07/2012,5
17/09/2012,5
27/09/2012,5
15/10/2012,5
28/11/2012,5
17/12/2012,5
19/02/2013,5
25/02/2013,5
04/04/2013,5
08/04/2013,5
18/04/2013,5
23/04/2013,5
30/05/2013,5
03/06/2013,5
11/06/2013,5
12/06/2013,5
02/07/2013,5
10/07/2013,5
20/08/2013,5
27/08/2013,5
11/09/2013,5
20/09/2013,5
25/09/2013,5
01/10/2013,5
11/10/2013,5
25/10/2013,5
05/11/2013,5
26/11/2013,5
03/12/2013,5
11/12/2013,5
20/01/2014,5
22/01/2014,5
17/04/2014,5
05/09/2014,5
08/09/2014,5
20/10/2014,5
04/01/2011,4
10/01/2011,4
11/02/2011,4
17/02/2011,4
28/02/2011,4
29/03/2011,4
01/04/2011,4
05/04/2011,4
02/05/2011,4
03/05/2011,4
24/05/2011,4
09/06/2011,4
17/06/2011,4
22/06/2011,4
05/07/2011,4
05/08/2011,4
24/08/2011,4
06/09/2011,4
09/09/2011,4
12/09/2011,4
30/09/2011,4
19/10/2011,4
09/11/2011,4
14/11/2011,4
14/12/2011,4
16/12/2011,4
17/01/2012,4
20/01/2012,4
31/01/2012,4
06/03/2012,4
08/03/2012,4
17/03/2012,4
21/03/2012,4
26/03/2012,4
02/04/2012,4
29/05/2012,4
31/05/2012,4
04/06/2012,4
06/06/2012,4
14/06/2012,4
20/06/2012,4
02/07/2012,4
30/07/2012,4
02/08/2012,4
07/08/2012,4
21/08/2012,4
