Date,Action
04/10/2010,Arrivée chez 55 Rue de Lisbonne arrivée avec Donsez chez 55
05/10/2010,Induction pinte Alan au Brady's. Mal à la tête.
18/10/2010,Dont make me think. Induction choc sur l'utilisabilité selon Framboise
22/11/2010,Bullish sur le partnership Urchin
23/11/2010,Premier cheese de François.
01/12/2010,Milongate
17/12/2010,GAIQ. Tonio 18/20 Alan scandalisé.
07/02/2011,Squash. Arnaud M. au sommet.
05/01/2011,Dégustation Saucisse LOL
10/01/2011,Bilan Sale Q410 de Jeannot. Le ppt a pas bougé les chiffres ont explosé depuis.
17/01/2011,Premier MTP chez Delamaison. S'ouvre l'ère des "données brutes"
15/02/2011,Easyvoyage. Palme du client qui nous aura le plus endormi.
28/02/2011,Nifty-fivers : Meng Petru Issam et Zili
18/03/2011,PetruGate
25/03/2011,55 est sur Twitter ! @55FiftyFive55 (pratique comme username !)
28/03/2011,Annonce du premier 5/5 TROOUUUUVIIILLEE Gros.
02/04/2011,Emménagement rue Gaillon
26/04/2011, "Pâques sur iTélé Noel au JT !"
05/05/2011,Trouville coquillages casinos et crustacés
15/05/2011,Fifty-five gagne son procès pour conserver la marque fifty-five contre l'entreprise fifty-five
25/05/2011,Après Torpedo le nouveau serveur de 55 s'appelle Micheline. Go Micheline Go.
30/05/2011,Arrivée de Thierry Danquin Arnaud Marchais Laurent Senesi
31/05/2011,Première rencontre avec Pierre Noël Luiggi. Leçon de business de la pièce détachée. 
06/06/2011,Première démo sans filet du dashboard à Air France ! 
20/06/2011,Première démo Tableau chez 55. Tableau parvient à dévendre Tableau. 
24/06/2011,Mats au G20 Yes
27/06/2011,Arrivée de l'immense FRD
08/07/2011,Premier mid-year assessment. Peer reviews j'écris ton nom. 
12/07/2011,Hugo imprime la newsletter de bébert sur papier glacé pour la lire au calme
15/07/2011,Premières formations media de la chaine vertueuse du search
25/07/2011,Bon bah là pas grand chose ce sont les grandes vacances quoi
01/08/2011,OoO - sea sex and sun 
20/08/2011,On me vole mon scooter
01/09/2011,Présentation puis enterrement de la main courante
05/09/2011,Lancement des BET project. Maestra-massionnienne du management !
06/09/2011,La police retrouve mon scooter
12/09/2011,Démo interface de visualisation chez 2Xmoinscher 
15/09/2011,Arnaud et Sergio au GA summit de SF baby
02/11/2011,Arrivée de ALN
07/11/2011,from:francois@fifty-five.com to:jcbrandely@pagesjaunes.fr objet:Ordre de Jouir
14/11/2011,Premier MTP avecTableau sur données Pixmania
06/12/2011,Premiers data tuesday
19/12/2011,Première fête de Noël 55. Bim un iPad. 
02/12/2012,Lol arrête les liens du jour (il en a quand même envoyé 228)
01/10/2013,Déménagement à Opéra
